hoodname,poolcount
Long Beach,2859
Rancho Palos Verdes,2592
Beverly Hills,2481
Downey,2078
Brentwood,1920
Torrance,1917
Hollywood Hills West,1559
Beverly Crest,1379
Bel-Air,1289
Palos Verdes Estates,1124
Rolling Hills Estates,858
Lakewood,809
Carson,747
Westwood,737
Monterey Park,731
South Pasadena,703
Westchester,701
Santa Monica,668
Hollywood Hills,619
Hancock Park,593
Los Feliz,587
Ladera Heights,574
Inglewood,563
San Pedro,560
Alhambra,552
Rolling Hills,507
Culver City,461
Manhattan Beach,458
View Park-Windsor Hills,448
Cheviot Hills,445
Bellflower,439
Baldwin Hills/Crenshaw,421
Mar Vista,395
South Gate,392
Gardena,375
San Marino,367
Hawthorne,362
Beverlywood,348
West Hollywood,312
Redondo Beach,302
Studio City,299
Beverly Grove,296
Windsor Square,268
Hollywood,262
Lomita,260
Harbor Gateway,227
Pasadena,226
Mid-Wilshire,225
Fairfax,217
Lynwood,217
Paramount,198
Del Rey,184
West Carson,183
El Segundo,180
Highland Park,172
Mid-City,164
Harbor City,164
Silver Lake,162
Wilmington,160
Koreatown,154
Palms,152
Playa del Rey,152
Compton,147
El Sereno,145
Pico-Robertson,129
Mount Washington,126
Sawtelle,124
Montebello,119
Huntington Park,113
Venice,112
Carthay,109
West Los Angeles,102
East Los Angeles,95
Pacific Palisades,93
Hermosa Beach,86
Glassell Park,83
Del Aire,79
Westlake,76
Alondra Park,75
Montecito Heights,72
Signal Hill,69
Leimert Park,65
Hyde Park,63
Lawndale,60
Athens,59
Larchmont,59
East Hollywood,58
Atwater Village,57
Bell,56
Bell Gardens,51
Echo Park,49
Rancho Park,47
Century City,45
Westmont,42
Marina del Rey,36
Commerce,36
Willowbrook,35
Downtown,35
Boyle Heights,34
Playa Vista,32
Maywood,31
Jefferson Park,29
Vermont Square,29
Arlington Heights,29
Gramercy Park,27
Exposition Park,26
Eagle Rock,25
University Park,25
Lennox,23
Walnut Park,21
Cudahy,21
East Compton,20
Manchester Square,18
Pico-Union,16
Vermont Vista,16
West Compton,15
Harvard Heights,15
Historic South-Central,14
West Adams,13
Elysian Valley,11
Cypress Park,9
Green Meadows,8
Central-Alameda,6
Griffith Park,6
Florence-Firestone,6
Elysian Park,6
Lincoln Heights,5
Adams-Normandie,4
Vermont Knolls,3
Vermont-Slauson,3
South Park,2
Harvard Park,2
Chinatown,1
Sherman Oaks,1
Vernon,1
Chesterfield Square,1
Veterans Administration,1
Encino,1
Broadway-Manchester,1
Glendale,1
