hoodname,poolcount
Adams-Normandie,4
Alhambra,552
Alondra Park,75
Arlington Heights,29
Athens,59
Atwater Village,57
Baldwin Hills/Crenshaw,421
Bel-Air,1289
Bell,56
Bell Gardens,51
Bellflower,439
Beverly Crest,1379
Beverly Grove,296
Beverly Hills,2481
Beverlywood,348
Boyle Heights,34
Brentwood,1920
Broadway-Manchester,1
Carson,747
Carthay,109
Central-Alameda,6
Century City,45
Chesterfield Square,1
Cheviot Hills,445
Chinatown,1
Commerce,36
Compton,147
Cudahy,21
Culver City,461
Cypress Park,9
Del Aire,79
Del Rey,184
Downey,2078
Downtown,35
Eagle Rock,25
East Compton,20
East Hollywood,58
East Los Angeles,95
Echo Park,49
El Segundo,180
El Sereno,145
Elysian Park,6
Elysian Valley,11
Encino,1
Exposition Park,26
Fairfax,217
Florence-Firestone,6
Gardena,375
Glassell Park,83
Glendale,1
Gramercy Park,27
Green Meadows,8
Griffith Park,6
Hancock Park,593
Harbor City,164
Harbor Gateway,227
Harvard Heights,15
Harvard Park,2
Hawthorne,362
Hermosa Beach,86
Highland Park,172
Historic South-Central,14
Hollywood,262
Hollywood Hills,619
Hollywood Hills West,1559
Huntington Park,113
Hyde Park,63
Inglewood,563
Jefferson Park,29
Koreatown,154
Ladera Heights,574
Lakewood,809
Larchmont,59
Lawndale,60
Leimert Park,65
Lennox,23
Lincoln Heights,5
Lomita,260
Long Beach,2859
Los Feliz,587
Lynwood,217
Manchester Square,18
Manhattan Beach,458
Mar Vista,395
Marina del Rey,36
Maywood,31
Mid-City,164
Mid-Wilshire,225
Montebello,119
Montecito Heights,72
Monterey Park,731
Mount Washington,126
Pacific Palisades,93
Palms,152
Palos Verdes Estates,1124
Paramount,198
Pasadena,226
Pico-Robertson,129
Pico-Union,16
Playa del Rey,152
Playa Vista,32
Rancho Palos Verdes,2592
Rancho Park,47
Redondo Beach,302
Rolling Hills,507
Rolling Hills Estates,858
San Marino,367
San Pedro,560
Santa Monica,668
Sawtelle,124
Sherman Oaks,1
Signal Hill,69
Silver Lake,162
South Gate,392
South Park,2
South Pasadena,703
Studio City,299
Torrance,1917
University Park,25
Venice,112
Vermont Knolls,3
Vermont Square,29
Vermont Vista,16
Vermont-Slauson,3
Vernon,1
Veterans Administration,1
View Park-Windsor Hills,448
Walnut Park,21
West Adams,13
West Carson,183
West Compton,15
West Hollywood,312
West Los Angeles,102
Westchester,701
Westlake,76
Westmont,42
Westwood,737
Willowbrook,35
Wilmington,160
Windsor Square,268
